cluster_all_aligned,cluster_coherence,cluster_signal,cluster_size,dominant_mad_actionable,dominant_mad_directional_hit_30m,dominant_z_mad,dominant_z_std,event_time_utc,indicators,max_abs_mad_z,mean_abs_mad_z,mean_signed_surprise,post_240m_hit,post_240m_mae_bps,post_240m_mfe_bps,post_240m_observed_bars,post_240m_usd_bps,post_30m_hit,post_30m_mae_bps,post_30m_mfe_bps,post_30m_observed_bars,post_30m_usd_bps,post_60m_hit,post_60m_mae_bps,post_60m_mfe_bps,post_60m_observed_bars,post_60m_usd_bps,pre_240m_abs_bps,pre_240m_aligned,pre_240m_usd_bps,pre_30m_abs_bps,pre_30m_aligned,pre_30m_usd_bps,pre_60m_abs_bps,pre_60m_aligned,pre_60m_usd_bps,pre_atr_bps,pre_realized_vol_bps,trade_240m_gross_bps,trade_30m_gross_bps,trade_60m_gross_bps,year
True,1,-1,1,False,False,-0.256949,-0.225151,2021-07-01T14:00:00+00:00,pmi,0.256949,0.256949,-0.4,False,-1.8522,26.4356,8,26.0147,False,-1.8522,16.417,1,10.6921,False,-1.8522,17.3431,2,8.1664,20.4156,True,-20.4156,0.4209,False,0.4209,6.4868,True,-6.4868,8.983714391981142,6.785065403557369,-26.0147,-10.6921,-8.1664,2021
False,0,0,2,True,False,-2.023472,-0.357778,2021-07-02T12:30:00+00:00,nfp+unemployment,2.023472,1.863366,62499.85,False,-31.3819,12.6881,8,-18.1017,False,-29.521,12.6881,1,-21.4006,False,-31.3819,12.6881,2,-13.7877,4.8192,,4.8192,0.0846,,0.0846,0.2538,,-0.2538,6.109419614396055,7.598741407108353,,,,2021
True,1,1,2,True,True,3.372454,4.577086,2021-07-13T12:30:00+00:00,core_cpi+cpi,3.372454,3.035208,0.45,True,-0.422,46.7617,8,28.1077,True,-0.422,44.8203,1,40.4312,True,-0.422,46.7617,2,36.5484,2.1097,True,2.1097,0.0844,True,0.0844,6.5881,False,-6.5881,7.103211598263207,13.901773932517392,28.1077,40.4312,36.5484,2021
True,1,1,1,True,True,2.697963,0.66842,2021-07-16T12:30:00+00:00,retail_sales,2.697963,2.697963,1.0,False,-9.8283,7.2865,8,-5.7614,True,-2.2029,7.2865,1,0.6778,False,-8.4726,7.2865,2,-5.9308,13.1154,True,13.1154,0.4236,True,0.4236,6.9524,False,-6.9524,8.54266697339699,5.793621475883269,-5.7614,0.6778,-5.9308,2021
True,1,-1,1,True,True,-5.395926,-3.063268,2021-07-29T12:30:00+00:00,gdp,5.395926,5.395926,-2.0,True,-15.6666,0.0,8,-8.086,True,-10.7813,0.0,1,-9.939,True,-10.7813,0.0,2,-5.9803,3.5364,False,3.5364,0.0,False,0.0,0.8424,True,-0.8424,5.5370538925139865,3.9525620404298394,8.086,9.939,5.9803,2021
True,1,-1,1,False,False,-0.835084,-0.73174,2021-08-02T14:00:00+00:00,pmi,0.835084,0.835084,-1.3,False,-6.6492,13.635,8,11.0258,False,-6.6492,3.2825,1,3.1983,False,-6.6492,4.3767,2,2.4408,4.9634,False,4.9634,0.5892,True,-0.5892,1.852,True,-1.852,8.423936574203497,4.732085517328679,-11.0258,-3.1983,-2.4408,2021
True,1,1,2,True,True,2.023472,0.357778,2021-08-06T12:30:00+00:00,nfp+unemployment,2.023472,1.509088,36500.15,True,-2.0329,43.0297,8,40.658,True,-2.0329,24.6489,1,18.2114,True,-2.0329,25.0724,2,20.2443,4.318,True,4.318,0.0847,True,0.0847,1.101,True,1.101,5.832779466945851,6.311841976092602,40.658,18.2114,20.2443,2021
False,0.5,-1,2,False,False,-0.674491,-0.915417,2021-08-11T12:30:00+00:00,core_cpi+cpi,0.674491,0.337245,-0.05,True,-27.224,0.0853,8,-17.7511,True,-27.224,0.0853,1,-16.4709,True,-27.224,0.0853,2,-19.4579,4.3543,True,-4.3543,0.0,False,0.0,1.7925,True,-1.7925,4.983716677934731,5.456963195212056,17.7511,16.4709,19.4579,2021
True,1,-1,1,True,False,-2.428167,-0.601578,2021-08-17T12:30:00+00:00,retail_sales,2.428167,2.428167,-0.9,False,-6.2909,44.9715,8,40.4659,False,-6.2909,18.3627,1,16.0673,False,-6.2909,26.0988,2,22.9533,12.0572,False,12.0572,0.085,False,0.085,0.3401,True,-0.3401,7.517983868876598,6.0013510871061335,-40.4659,-16.0673,-22.9533,2021
True,1,1,1,False,False,0.899321,0.788027,2021-09-01T14:00:00+00:00,pmi,0.899321,0.899321,1.4,True,-11.3985,8.781,8,0.6755,True,-2.3641,8.781,1,0.7599,False,-11.3985,8.781,2,-8.781,19.4574,False,-19.4574,0.3377,True,0.3377,1.9423,False,-1.9423,7.399913943837859,4.848970126786676,0.6755,0.7599,-8.781,2021
False,0.5,-1,2,True,True,-6.608647,-0.360789,2021-09-03T12:30:00+00:00,nfp+unemployment,6.608647,3.304323,-242500.0,True,-31.5035,5.054,8,-12.1297,True,-31.5035,5.054,1,-16.4256,True,-31.5035,5.054,2,-20.89,2.4422,False,2.4422,0.0842,False,0.0842,1.2633,False,1.2633,5.02155143613809,5.792727087379312,12.1297,16.4256,20.89,2021
True,1,-1,2,True,True,-1.348982,-1.830835,2021-09-14T12:30:00+00:00,core_cpi+cpi,1.348982,1.011736,-0.15,True,-29.2937,0.508,8,-12.5303,True,-29.2937,0.508,1,-25.4839,True,-29.2937,0.508,2,-23.1979,8.2902,False,8.2902,0.0,False,0.0,1.5242,True,-1.5242,6.973205048343419,9.512295469245894,12.5303,25.4839,23.1979,2021
True,1,1,1,True,True,3.777148,0.935789,2021-09-16T12:30:00+00:00,retail_sales,3.777148,3.777148,1.4,True,-3.9103,11.2209,8,0.8501,True,-1.7001,10.0308,1,7.3106,True,-1.7001,10.0308,2,6.2905,7.3901,True,7.3901,0.17,True,0.17,4.3335,True,4.3335,6.478015586710951,3.673216345450528,0.8501,7.3106,6.2905,2021
True,1,1,1,False,False,0.963558,0.844315,2021-10-01T14:00:00+00:00,pmi,0.963558,0.963558,1.5,True,-0.6895,16.5474,8,2.9303,True,-0.3447,16.5474,1,4.9987,True,-0.3447,16.5474,2,5.7744,15.6238,False,-15.6238,0.0862,False,-0.0862,0.7757,False,-0.7757,8.259501101668354,4.729591832525998,2.9303,4.9987,5.7744,2021
False,0,0,2,True,False,-4.033318,-0.220193,2021-10-08T12:30:00+00:00,nfp+unemployment,4.033318,3.028395,-147999.85,False,-17.4651,8.9055,8,3.6314,False,-17.4651,1.5563,1,-4.3231,False,-17.4651,3.9772,2,1.0375,10.7327,,-10.7327,0.1729,,-0.1729,3.2001,,-3.2001,6.423610564063346,3.604938536278364,,,,2021
False,0.5,1,2,False,False,0.674491,0.909195,2021-10-13T12:30:00+00:00,core_cpi+cpi,0.674491,0.337245,0.05,False,-18.4298,18.2567,8,-14.19,True,-2.8553,18.2567,1,12.7191,False,-4.4993,18.2567,2,-3.5475,0.7788,False,-0.7788,0.0,False,0.0,5.8802,True,5.8802,6.142575303028161,5.389712248818749,-14.19,12.7191,-3.5475,2021
True,1,1,1,True,True,2.428167,0.601578,2021-10-15T12:30:00+00:00,retail_sales,2.428167,2.428167,0.9,True,-13.6274,4.83,8,2.2425,True,-8.7112,4.83,1,2.2425,False,-8.7112,4.83,2,-8.1937,7.7564,True,7.7564,0.0,False,0.0,7.7564,True,7.7564,7.237076461671432,3.7316482188413382,2.2425,2.2425,-8.1937,2021
True,1,-1,1,True,True,-1.618778,-0.918981,2021-10-28T12:30:00+00:00,gdp,1.618778,1.618778,-0.6,True,-90.0092,1.2945,8,-85.3491,True,-41.5095,1.2945,1,-36.5042,True,-51.8653,1.2945,2,-43.8396,2.157,False,2.157,0.0,False,0.0,8.0193,False,8.0193,11.122369451134704,13.262446504183622,85.3491,36.5042,43.8396,2021
True,1,1,1,False,False,0.256949,0.225151,2021-11-01T14:00:00+00:00,pmi,0.256949,0.256949,0.4,False,-19.5294,5.8761,8,-19.1837,True,-0.7777,5.8761,1,2.2467,False,-9.9375,5.8761,2,-9.8511,1.815,False,-1.815,0.0,False,0.0,2.419,True,2.419,6.330136075808647,2.4797296125152153,-19.1837,2.2467,-9.8511,2021
True,1,1,2,True,True,1.035582,0.056536,2021-11-05T12:30:00+00:00,nfp+unemployment,1.035582,0.855036,38000.05,False,-16.2059,22.1856,8,-14.906,True,-0.26,22.099,1,21.2323,True,-0.26,22.1856,2,7.3663,8.9183,True,8.9183,0.0,False,0.0,4.682,False,-4.682,6.85486594721748,7.778610739865955,-14.906,21.2323,7.3663,2021
True,1,1,2,True,True,2.023472,2.727586,2021-11-10T13:30:00+00:00,core_cpi+cpi,2.023472,1.686227,0.25,True,-15.0559,44.3891,8,39.4569,True,-6.7492,20.8533,1,3.0285,False,-10.4699,20.8533,2,-5.8839,17.7069,True,17.7069,0.4326,True,0.4326,1.2113,True,1.2113,9.480117890585934,5.927664340434676,39.4569,3.0285,-5.8839,2021
True,1,1,1,True,True,1.079185,0.267368,2021-11-16T13:30:00+00:00,retail_sales,1.079185,1.079185,0.4,True,-5.0135,40.2843,8,39.2288,True,-5.0135,10.291,1,6.2449,True,-5.0135,34.8309,2,26.2991,6.9534,False,-6.9534,0.0,False,0.0,5.9847,False,-5.9847,7.897912938926838,6.1095830886129345,39.2288,6.2449,26.2991,2021
